nGram,size,mormonFreq,nonMormonFreq
the way for the,4,2,1
leap,1,2,9
few there be that,4,1,1
his holy arm in,4,1,1
him to die,3,1,1
salvation of,2,20,14
and thus he,3,7,1
it with them,3,1,1
me and i in you,5,1,2
and david called,3,1,2
shake the,2,2,5
dust of the earth,4,1,10
with the sound of the,5,1,3
their judgments,2,1,2
of twelve,2,4,8
from the north and from,5,1,3
continue as,2,2,1
sufferings of,2,3,4
their cry and,3,1,5
of my power,3,3,1
consciences,1,1,1
and the wicked shall not,5,1,1
bodies to be,3,1,1
of the twelve apostles,4,5,2
shall ask the father in,5,1,1
of godliness,2,3,2
and unto,2,33,186
enemies by,2,1,2
they understand,2,1,3
shield of faith ye shall,5,1,1
liberty to the captives and,5,1,1
and the day,3,9,11
that i give,3,3,3
shall have an,3,1,9
keys of the kingdom of,5,3,1
you they are given,4,1,1
left,1,27,348
this shall be,3,22,40
fifth,1,3,62
hold upon his,3,1,1
up in the,3,5,34
will not accept,3,1,2
blessed are they,3,6,12
even so ye,3,1,2
and holiness,2,2,2
be baptized every one of,5,1,1
city of,2,24,130
fifty,1,6,157
that not by the,4,1,1
earth shall see,3,1,2
give thanks,2,2,35
but among the righteous there,5,1,1
they killed,2,1,7
his son,2,4,261
lees,1,1,4
flesh shall know that,4,1,1
god among,2,1,4
city or,2,1,2
a small thing,3,1,6
rested upon them and they,5,1,1
were chosen,2,3,2
and the inhabitants thereof,4,3,7
man even so,3,1,1
hands and i will do,5,2,1
ordinances to,2,1,1
saints that i,3,1,1
my holy,2,13,25
thee blessed art thou,4,1,1
generation from,2,1,1
upon him and his,4,4,1
a portion of the,4,3,1
say unto,2,382,398
so will i,3,5,33
to say to,3,1,6
life and shall,3,1,2
o god be,3,1,2
whom have,2,1,3
thee thou shalt,3,4,25
in your hearts and,4,3,1
give not,2,2,7
for since the beginning of,5,1,1
preaching of the,3,3,1
keys of the kingdom,4,8,1
in sending,2,1,2
wicked might,2,1,1
you they are,3,2,2
not spare,2,2,15
cry and the,3,1,3
shalt loose on,3,1,1
and the spirit and the,5,1,1
off the face,3,1,6
new heaven and a new,5,1,1
pass unto you,3,1,1
of thine heart,3,1,11
will i spare,3,1,1
the flower thereof,3,1,2
in the land of promise,5,1,1
his grace and,3,1,1
my mind and,3,1,2
those places,2,1,2
spake unto them saying,4,1,6
and were baptized,3,1,3
they might be,3,8,10
shalt send,2,1,2
a prophet and,3,1,2
overtake you as a thief,5,1,1
testimony among,2,1,1
is made,2,5,38
into your hands,3,4,3
the offices of,3,2,1
thus it was,3,1,1
gathered together in,3,2,1
courses of the,3,1,4
the earth the lord,4,1,3
sound of,2,14,47
even for the,3,2,6
ordinances of,2,6,9
in the day when i,5,2,8
custody,1,1,5
of the ungodly,3,2,4
the angels as,3,1,1
pierced my,2,1,1
of days,2,5,15
a woman to lust after,5,2,1
wash away,2,1,1
shall have it,3,1,2
had commanded,2,1,38
of darkness the,3,1,1
the manifestation,2,2,2
truth unto,2,2,5
none is able,3,1,1
in the water and,4,2,2
been faithful in the,4,2,1
this people thou,3,1,1
of enoch,2,7,2
thirsty,1,1,17
the stem of jesse,4,2,1
unto thee o god the,5,2,1
before thy face,3,1,10
a land,2,5,59
all the fiery darts of,5,2,1
the offering up,3,1,1
have gone to,3,1,1
fiery darts of the,4,2,1
their iniquities,2,4,8
father in my name,4,6,2
sent forth to,3,11,1
and set a,3,1,4
leave his,2,1,7
himself in his,3,1,5
a lamb,2,1,28
city in,2,3,8
and his rest shall,4,1,1
miracles and,2,3,5
a strong hold,3,1,2
less,1,8,27
lest,1,40,240
your sins are forgiven,4,8,1
been faithful over a,4,1,2
the humble,2,1,10
and come up to the,5,1,1
away even that,3,1,2
celestial,1,28,2
the offering of,3,2,25
he hath broken,3,1,8
the sword,2,7,284
in many,2,2,7
shall have no,3,6,12
receive the promise of,4,1,2
him was the,3,1,4
and wisdom in,3,1,1
elias and,2,2,3
built after,2,1,1
lord god that,3,1,5
they were as,3,1,4
fulfil the,2,3,10
they were at,3,1,3
on the throne of his,5,1,1
voice of many,3,1,3
unjust and,2,2,1
lord after the,3,1,2
was baptized,2,1,6
to hide,2,1,9
to any of,3,1,7
shall live by,3,2,6
on thy way,3,1,2
prophesy in the,3,1,1
a little child,3,1,7
and rose again,3,1,2
concerning you or,3,2,1
pray,1,22,313
shall not taste of death,5,1,3
employed,1,2,2
of the people from,4,1,4
i laid,2,1,5
any of you,3,2,10
into thine hands,3,1,2
broken down,2,1,21
believe and,2,6,8
of elders,2,6,1
great things,2,6,28
your god and your,4,3,1
him the,2,17,147
righteousness shall,2,4,13
as mine,2,3,1
known among the,3,2,2
to deceive,2,5,4
i have overcome the world,5,1,1
the temple unto the lord,5,1,1
not receive you,3,1,3
inheritances,1,15,1
after that they have,4,1,1
his right,2,1,56
without them,2,2,1
generation to generation and,4,1,1
tempted him,2,1,2
on the day of,4,2,1
and high,2,1,6
but gave,2,1,1
levi,1,5,72
of the fierceness,3,2,3
are cut off for,4,1,1
even so it,3,2,3
is not meet,3,4,3
even so in,3,2,1
punishments,1,1,2
to the north and to,5,1,1
it is not meet,4,3,3
and whosoever,2,5,48
christ with,2,1,3
spot and,2,1,7
prey,1,1,73
to lust,2,2,1
as would,2,3,2
and twenty,2,1,100
regard the,2,1,5
i restore,2,1,1
forsaken nor his,3,1,1
unto you before,3,2,2
power who,2,1,3
i am the first,4,1,3
the wisdom,2,2,28
he died,2,1,54
upon my holy,3,1,2
hear with,2,2,8
the marriage of the lamb,5,1,1
thou made,2,2,50
as with a,3,3,11
summer and,2,1,6
loosed which,2,1,1
law by,2,1,2
them that believe,3,3,12
then assembled,2,1,1
the right hand of,4,6,25
i have cursed them,4,1,1
in the year,3,4,16
law be,2,1,1
sent forth by,3,1,1
christ even,2,1,4
knee shall,2,1,2
angel ascending from the,4,2,1
the service of,3,1,53
because of their,3,9,12
healed and,2,3,7
in saying,2,1,4
law as,2,1,7
be with the,3,1,11
and enjoy,2,1,3
and the spirit shall,4,1,1
like unto that,3,1,1
forth i,2,1,1
clay,1,1,33
hand of his,3,3,21
i not hold,3,1,1
be well with,3,3,18
waters and as the,4,1,2
in divers places,3,2,3
thee power to,3,1,1
thou art in the,4,1,4
and i the lord will,5,4,1
shall seem,2,1,6
be sought for and,4,1,1
of the city of,4,4,17
shall seek,2,4,12
brought to,2,6,24
was commanded to,3,4,1
will deliver me,3,1,1
on the breastplate of,4,1,2
thine hands and thou,4,1,1
the spirit of the,4,6,48
out the iniquity,3,1,1
fire yea,2,1,1
sun shall be,3,3,7
thou wilt send,3,1,3
to enjoy,2,3,3
things which the lord,4,1,2
season,1,30,56
to do that,3,2,7
brought up,2,2,49
silver that,2,1,5
to his holy,3,2,1
herbs and,2,1,7
this people that,3,5,4
day will,2,1,11
lay my hand,3,1,1
him that in the,4,1,7
and preach the gospel to,5,1,1
whether it be good,4,1,7
he to whom,3,1,3
this pattern,2,3,1
i pleaded,2,1,1
his journey with,3,1,1
wife and of,3,1,1
were given unto him of,5,1,1
love me and keep,4,1,2
thou shalt not take,4,1,8
after thou,2,3,1
of baptisms,2,2,1
but afterward,2,1,3
not far from,3,1,8
sanctified through,2,2,2
and cleanse them,3,1,1
be done,2,35,67
some of the,3,4,29
upon him in the,4,1,2
a man or woman shall,5,1,1
yea from,2,2,1
are first,2,1,4
up unto,2,44,52
but that,2,5,63
whose i,2,1,1
to do them,3,1,14
city ye,2,1,3
adultery with,2,1,7
his business and,3,1,2
to sinners,2,1,1
cities unto,2,1,4
loved me and,3,1,2
that shall not,3,6,19
west on,2,1,1
gentiles and also,3,1,1
law he,2,1,2
experience,1,3,4
day of the lord for,5,1,1
but it shall be given,5,1,2
hearkened to his voice,4,1,1
life through his,3,1,1
hands let,2,1,1
the cry of,3,1,16
first man is,3,1,1
but know,2,1,4
ashamed of the,3,1,3
not brought into,3,1,1
their fathers lest,3,1,1
after this,2,9,53
city to,2,7,20
but this,2,2,27
new earth,2,1,4
the earth that,3,9,16
the lamb book of,4,1,1
fatness of the earth,4,1,2
unto him for he,4,1,3
and beside him,3,1,1
can not be hid,4,1,2
as a refiner,3,1,1
to the order,3,4,3
clothe the,2,1,3
therefore let not,3,1,3
law in,2,1,10
from house,2,3,4
inhabitants of the earth for,5,1,1
for debts,2,1,1
law it,2,1,3
not the law,3,2,6
law is,2,3,19
the book even,3,1,1
him that is the,4,1,1
in their own land,4,1,4
upon him the,3,1,8
shall send,2,10,21
lilies of the field,4,1,1
their garments,2,2,15
feed you,2,1,2
declared from,2,1,1
behold the world is,4,1,1
the voice of his,4,3,11
on the sixth day,4,2,5
me with all your heart,5,1,2
the voice of him,4,5,4
twinkling of an eye,4,3,1
of hosts and,3,2,18
of the law or,4,1,2
the spirit on the,4,1,1
to do this,3,3,5
relied,1,1,3
before the face,3,2,7
was wounded in the,4,1,1
the name of jesus christ,5,8,6
but they,2,13,185
of the law of,4,4,14
his merchandise and,3,1,1
high who,2,2,2
i the lord am thy,5,1,2
with you even unto,4,2,1
man having a,3,1,1
that ye shall receive,4,1,1
i know that this,4,1,2
relief,1,4,1
lay it,2,1,14
faith ye shall be,4,1,1
dead of,2,1,7
law of,2,38,107
in the spirit on the,5,1,1
after them and,3,1,11
blood and fire,3,1,2
be mine,2,3,8
that is the end of,5,1,1
abraham isaac and jacob,4,2,5
from thy,2,1,65
pass after many,3,1,2
dead on,2,1,1
i tell you before,4,1,2
unto them by my,4,1,1
ye hear,2,2,14
and i the,3,12,1
and to be,3,13,23
shall you,2,7,3
from the,2,153,1159
or ought,2,1,2
trees till,2,1,1
fiery,1,2,20
the winds,2,1,9
to the third,3,1,3
thee according,2,2,14
which dwell in the,4,1,3
been kept,2,3,3
appeared and,2,1,3
record,1,76,30
me into the,3,1,20
dispensation of the fulness of,5,8,1
is after,2,5,2
will send unto,3,1,3
shall return to,3,1,12
in the power,3,4,7
them for your,3,1,2
they were not divided,4,1,1
lay on,2,1,5
might be saved,3,3,5
same time,2,2,19
will of the lord is,5,1,1
they are faithful,3,8,1
drive and,2,1,1
the time,2,45,168
glory thereof,2,1,1
preserve them,2,1,3
nor perceived by the ear,5,1,1
abraham and of isaac,4,1,1
be done unto them,4,3,2
for for this cause,4,2,2
the dead both,3,2,2
have suffered these things,4,2,1
touched,1,1,49
planted in the,3,2,3
bathed in,2,2,1
loud voice fear god,4,1,1
and to do,3,2,16
law or,2,3,4
baptized in the name,4,2,4
dispensation of the,3,11,3
are great,2,1,4
go to the land of,5,1,1
eyes were as a,4,1,2
seated,1,1,1
and mother and,3,1,6
lay my,2,1,5
up that he may,4,1,1
and eternal,2,14,2
work of my,3,2,3
and for the,3,26,151
and the father in me,5,2,2
his two,2,1,20
thenceforth good for,3,2,1
in after,2,1,4
not redeem,2,1,7
shall be trodden,3,1,5
is faithful by,3,1,1
his ministry,2,3,1
place among,2,1,1
their ungodly deeds,3,1,1
which joseph had,3,1,1
and if the lord,4,1,1
able to receive,3,1,2
garden of eden,3,1,5
him and for,3,1,3
worthy,1,36,68
not to keep,3,1,2
you from my,3,1,2
of all other,3,1,2
dead in,2,3,9
dead is,2,1,3
the weary,2,2,5
together in one,3,2,2
man more than,3,1,1
some other way,3,5,1
of the earth shall see,5,1,2
yet because this widow me,5,1,1
the spirit and power of,5,1,1
living god the,3,2,2
whether i,2,1,4
and i said,3,3,40
field,1,24,291
before the council,3,4,2
the desire,2,1,20
as it shall seem good,5,1,1
he hath not put,4,1,1
but thou,2,5,102
the right of,3,5,6
keeper of the,3,1,15
day that the,3,1,29
day even,2,1,8
ordinance for,2,1,7
us to god,3,1,2
were gathered together,3,1,31
law to,2,3,12
his servants and,3,1,37
unto the children,3,16,98
there is laid,3,1,1
and for thy,3,1,14
remembered,1,3,57
up before,2,3,16
of heart,2,14,29
quarters of the earth,4,3,1
your god it,3,1,1
wings and the,3,1,3
thought and,2,1,2
for the salvation of,4,11,2
lay up,2,1,9
go not up,3,1,6
was very grievous,3,1,1
to be wise and to,5,1,1
of their place,3,4,3
and i perceived that the,5,1,1
god and ye shall,4,1,5
bound up,2,1,9
his life in,3,1,3
shall it be done,4,2,11
thee that it may,4,1,5
your god ye,3,1,5
unto thee because of,4,1,2
am about,2,3,1
love until,2,1,2
lay to,2,1,1
thou shalt take him,4,1,1
the earth shall be,4,8,7
of jesus christ and,4,5,3
plains,1,1,25
men for,2,8,23
is faithful in,3,2,2
bring glad tidings of,4,1,1
shall not overtake,3,1,2
dead if,2,1,1
thy sins are forgiven thee,5,3,1
unto them whatsoever,3,1,2
cut off from among,4,2,11
partakers,1,6,22
only upon the,3,1,1
peter to,2,1,2
let a,2,3,10
law ye,2,2,2
exhorting them,2,1,1
they shall never,3,1,2
i will visit you,4,2,1
you no more,3,1,1
wherein it is,3,1,1
me that the,3,2,4
yea i will,3,3,12
to the dividing asunder,4,5,1
be done unto,3,7,11
of you for,3,1,4
committed to the,3,1,1
of bringing the,3,1,1
come from the,3,2,14
dead by,2,1,2
it they shall,3,1,1
was kindled against,3,1,20
the dividing,2,5,2
ordinances thereof,2,2,2
strength for,2,1,5
dead be,2,2,1
of that place,3,1,14
hand of god,3,4,16
and setting,2,1,1
ye call upon,3,1,1
speak these,2,1,5
of israel in their,4,2,2
the fifth angel,3,1,2
if after,2,2,2
of the lord before,4,1,4
in the sun and,4,1,2
son jesus christ,3,3,5
lord is there,3,1,2
love unfeigned by,3,1,1
that i will not,4,1,8
of the glory of the,5,3,3
both in the land of,5,1,1
and pleasure,2,1,1
virtuous,1,2,3
the beasts of the,4,6,43
the wife is sanctified by,5,1,1
covenant and be,3,1,1
messenger before,2,1,3
in the midst of my,5,3,7
beasts,1,17,156
can not behold,3,1,1
bound to,2,2,4
people thou,2,1,6
thou shalt not kill,4,3,4
were so,2,1,11
a sabbath day,3,1,1
weak that,2,1,1
thee shall be,3,1,9
my mother,2,1,36
and preach,2,11,6
to know that,3,3,2
place which he shall,4,1,4
be clothed with,3,1,10
them against the,3,2,2
the seventh,2,9,112
the gentiles and,3,8,22
the likeness,2,6,25
your father and your,4,1,1
christ whom,2,1,3
was needful,2,1,2
people this,2,1,3
by wicked,2,2,2
or bad as,3,1,2
the day when i,4,2,8
judah after,2,1,3
unto you seek,3,2,1
sat upon,2,1,20
i will prepare,3,1,3
not from above,3,1,1
to preach,2,28,18
no man think,3,1,1
but live according to,4,2,1
for a season,3,5,9
their own names,3,3,1
and there was a widow,5,1,1
city as,2,1,7
that himself shall be abased,5,1,1
have obeyed my,3,2,1
the spirit that he,4,1,1
and young both,3,1,1
rejoiced,1,2,45
the midst of my,4,3,9
and not only,3,2,6
this thou shalt,3,4,5
saith the lord of hosts,5,9,123
the knowledge of god,4,2,6
were to,2,5,13
prayers and thine alms,4,1,1
the seventy,2,7,3
to lust after,3,2,1
came who,2,1,1
concerning the law of,4,1,1
and take all,3,1,1
place that the,3,1,2
zion i,2,3,1
part in the first resurrection,5,3,1
out of their,3,9,49
and in truth,3,1,4
they shall go forth,4,4,1
them and carried,3,1,3
given from,2,2,2
whether they be,3,1,7
were on,2,1,28
from him shall be taken,5,1,3
servant isaac,2,6,1
the commandments which,3,5,5
this shall be a,4,3,12
with seven,2,1,2
and to my,3,2,9
and to no,3,1,1
to confound,2,1,2
which are given,3,3,2
wherefore i say unto you,5,2,1
where he dwelt,3,1,2
let not your hearts faint,5,1,1
people they,2,1,3
be slain,2,2,27
befall,1,4,9
by mine,2,9,6
us to god being put,5,1,1
the sea nor the trees,5,1,1
of salvation the,3,1,1
with another,2,12,12
from generation to generation and,5,1,1
acknowledge him,2,1,1
from another star,3,1,1
thy time,2,2,2
by the law of moses,5,1,1
babylon from the,3,1,1
to the end,3,8,27
pray and not to faint,5,1,1
neither let,2,1,22
they were in,3,1,14
from among the people,4,2,4
and he sent forth his,5,1,1
and jerusalem,2,1,45
shall yet,2,1,11
how oft,2,2,4
and upon,2,23,223
given you until,3,1,1
a man the,3,1,1
be delivered into the,4,1,10
a multitude,2,1,25
when they have,3,1,7
church for,2,9,1
by the wall,3,1,4
of their iniquity,3,1,6
of angels and,3,5,2
of hosts there,3,1,1
be above,2,1,7
which are baptized for,4,1,1
who spake,2,3,1
my father and,3,7,38
hearts may be,3,1,1
for the life of the,5,1,3
return and,2,3,34
among you,2,50,144
lord and shall,3,3,9
of the world for i,5,2,1
and are the children of,5,1,1
my law and ye,4,1,1
people that,2,13,174
thy heart with all,4,1,1
deaf to,2,1,1
punishments of,2,1,1
from city to city,4,5,2
behold at the,3,1,3
one thousand,2,3,6
with me and behold,4,1,1
had spoken,2,1,39
and the needy,3,7,5
the lord hath redeemed,4,2,3
them according,2,6,19
midst of thine,3,1,2
and the righteous,3,2,1
the manner of the,4,5,15
then shall ye know,4,3,3
all the holy angels,4,1,1
also upon,2,1,9
of visitation,2,3,3
the fear of,3,2,52
it shall be a,4,2,26
unto you that this,4,2,4
tradition of,2,1,5
people even as,3,1,2
the lord jesus christ,4,5,28
will go before you and,5,1,1
with truth,2,1,1
let him impart,3,1,1
to supply,2,1,1
forth of my,3,2,1
is the case,3,2,1
make his paths straight,4,3,3
ask of the,3,1,1
heavenly,1,13,23
for such are,3,1,1
the creator of the,4,1,1
of god the,3,13,17
the bank of,3,2,9
thine adversaries,2,1,5
to know them,3,1,1
over a few,3,2,2
the words which he,4,1,3
epistle of paul,3,1,14
thee again,2,2,6
unto my voice,3,4,6
who is faithful,3,2,1
of the son and of,5,2,1
apostles and prophets,3,2,3
parts of the earth,4,3,13
garments lest,2,1,1
the counsel of the,4,3,21
i will lead them,4,1,1
not boast,2,1,1
grow together until the,4,1,1
head of the church,4,2,1
the evil that,3,1,21
done in the,3,3,8
to give unto,3,3,11
which feared not god neither,5,1,1
you in all things,4,1,2
yet received,2,1,1
gabriel,1,1,4
that spirit,2,6,2
their judgment,2,1,1
and election,2,1,1
were ye,2,1,4
of wars and,3,2,3
the tribulation,2,1,1
have caused to be,4,1,1
the testimony that,3,1,3
all the nations that,4,1,6
and love with,3,1,1
abraham your father,3,1,1
israel out of the,4,1,13
dead to,2,2,6
aaron for,2,2,2
fowls of the air and,5,3,4
lord and make,3,2,3
in thy seed shall,4,1,4
the prisoners,2,1,11
the ordinance,2,13,11
